,cycle,lookback,num_units,loss,accuracy
0,0,5,77,0.22639904916286469,0.0798531025648117
1,0,102,53,0.33427655696868896,0.1707036942243576
2,0,106,79,0.2912319302558899,0.11525209248065948
3,0,17,21,0.2986195385456085,0.14597412943840027
4,0,101,59,0.38232526183128357,0.2083389014005661
5,0,25,80,0.27971673011779785,0.11213803291320801
6,0,15,118,0.2941596210002899,0.13444013893604279
7,0,87,49,0.2883239984512329,0.12913139164447784
8,0,51,70,0.3222602903842926,0.15217676758766174
9,0,43,36,0.28746965527534485,0.12707826495170593
10,1,115,70,0.3239176869392395,0.14223462343215942
11,1,77,55,0.2872976064682007,0.11585353314876556
12,1,19,21,0.2967325747013092,0.12861500680446625
13,1,13,111,0.26870274543762207,0.10589004307985306
14,1,4,69,0.20866815745830536,0.054866816848516464
15,1,4,68,0.23309481143951416,0.06874284893274307
16,2,4,66,0.19950629770755768,0.04941163957118988
17,2,71,55,0.27914589643478394,0.11815717816352844
18,2,3,70,0.20097070932388306,0.054251860827207565
19,2,5,74,0.2288742959499359,0.07988831400871277
20,3,25,75,0.2864114046096802,0.12437952309846878
21,3,2,71,0.1957603543996811,0.051128484308719635
22,4,117,72,0.31432220339775085,0.13452115654945374
